type,name,time_units,begin_time,frequency,count,units
signal_2d,"COP","s",0.000,60,1800,"mm"

time,x,y
0.000,-17.236,-20.047
0.017,-17.303,-19.869
0.033,-16.812,-19.694
0.050,-16.341,-19.547
0.067,-16.183,-19.564
0.083,-15.769,-19.502
0.100,-15.607,-19.424
0.117,-15.137,-19.377
0.133,-14.991,-19.043
0.150,-14.754,-18.841
0.167,-14.230,-18.822
0.183,-13.914,-18.666
0.200,-14.529,-18.596
0.217,-13.976,-18.712
0.233,-13.469,-18.653
0.250,-13.605,-18.548
0.267,-13.727,-18.216
0.283,-13.567,-18.127
0.300,-13.460,-18.145
0.317,-13.497,-17.789
0.333,-13.287,-17.847
0.350,-12.917,-17.963
0.367,-13.063,-17.813
0.383,-13.045,-17.949
0.400,-12.547,-17.745
0.417,-12.140,-18.054
0.433,-12.447,-17.610
0.450,-12.212,-17.818
0.467,-11.961,-17.744
0.483,-12.112,-17.413
0.500,-11.610,-17.610
0.517,-11.718,-17.338
0.533,-11.850,-17.232
0.550,-11.792,-17.500
0.567,-11.813,-17.286
0.583,-11.820,-17.619
0.600,-11.882,-17.344
0.617,-11.330,-17.409
0.633,-11.627,-17.623
0.650,-12.090,-17.686
0.667,-11.907,-18.210
0.683,-12.269,-18.086
0.700,-12.101,-18.482
0.717,-12.527,-18.226
0.733,-12.370,-18.320
0.750,-12.851,-18.672
0.767,-12.770,-18.945
0.783,-12.636,-19.209
0.800,-12.550,-19.524
0.817,-12.708,-19.884
0.833,-12.779,-20.069
0.850,-12.913,-20.458
0.867,-12.975,-20.572
0.883,-12.965,-21.021
0.900,-13.003,-21.254
0.917,-13.398,-21.887
0.933,-13.763,-22.104
0.950,-13.833,-22.179
0.967,-13.713,-22.274
0.983,-13.805,-22.456
1.000,-13.865,-22.798
1.017,-13.856,-23.098
1.033,-14.179,-23.244
1.050,-14.188,-23.443
1.067,-14.173,-23.870
1.083,-14.774,-23.979
1.100,-14.713,-24.143
1.117,-14.691,-24.257
1.133,-15.062,-24.155
1.150,-14.875,-24.103
1.167,-15.414,-24.032
1.183,-15.338,-23.889
1.200,-15.552,-23.598
1.217,-15.272,-23.599
1.233,-15.354,-23.753
1.250,-15.205,-23.685
1.267,-15.552,-23.448
1.283,-15.574,-23.757
1.300,-15.995,-23.595
1.317,-16.328,-24.132
1.333,-16.824,-24.297
1.350,-16.886,-24.459
1.367,-17.459,-24.592
1.383,-17.455,-24.635
1.400,-17.019,-24.966
1.417,-17.093,-24.992
1.433,-17.917,-24.871
1.450,-17.987,-24.946
1.467,-17.591,-24.903
1.483,-18.261,-24.815
1.500,-18.066,-25.223
1.517,-18.132,-25.530
1.533,-18.342,-25.334
1.550,-18.390,-25.482
1.567,-18.302,-25.982
1.583,-18.442,-26.075
1.600,-18.377,-26.355
1.617,-19.018,-26.806
1.633,-19.532,-27.085
1.650,-19.521,-27.434
1.667,-19.630,-27.843
1.683,-19.612,-28.063
1.700,-19.270,-28.444
1.717,-19.475,-29.040
1.733,-19.374,-29.479
1.750,-19.269,-29.898
1.767,-19.365,-30.182
1.783,-18.970,-30.304
1.800,-18.792,-30.518
1.817,-18.870,-30.857
1.833,-18.537,-31.012
1.850,-18.925,-31.340
1.867,-17.990,-31.638
1.883,-18.446,-31.683
1.900,-18.468,-31.693
1.917,-17.776,-31.778
1.933,-17.809,-31.607
1.950,-17.770,-31.402
1.967,-17.547,-31.097
1.983,-17.763,-30.820
2.000,-17.393,-30.673
2.017,-17.703,-30.240
2.033,-17.874,-29.952
2.050,-17.816,-29.843
2.067,-17.343,-29.819
2.083,-17.252,-29.534
2.100,-17.378,-29.109
2.117,-16.746,-28.744
2.133,-16.801,-28.533
2.150,-17.054,-28.177
2.167,-17.118,-28.055
2.183,-16.774,-27.893
2.200,-16.632,-27.762
2.217,-16.382,-27.714
2.233,-16.434,-28.021
2.250,-16.857,-28.043
2.267,-16.555,-28.034
2.283,-16.605,-27.914
2.300,-16.862,-27.753
2.317,-16.238,-27.456
2.333,-16.432,-27.382
2.350,-16.269,-27.080
2.367,-16.277,-26.847
2.383,-15.847,-26.698
2.400,-16.063,-26.147
2.417,-15.642,-25.646
2.433,-15.384,-25.491
2.450,-15.447,-24.975
2.467,-14.652,-24.230
2.483,-14.057,-23.558
2.500,-13.976,-22.842
2.517,-13.606,-22.541
2.533,-13.590,-22.089
2.550,-13.899,-21.926
2.567,-14.302,-21.565
2.583,-14.092,-21.106
2.600,-13.634,-20.825
2.617,-13.599,-20.668
2.633,-13.996,-20.199
2.650,-14.302,-20.112
2.667,-14.223,-19.824
2.683,-14.399,-19.943
2.700,-14.144,-20.155
2.717,-13.972,-20.371
2.733,-14.090,-20.475
2.750,-14.440,-20.599
2.767,-14.455,-20.746
2.783,-14.132,-20.830
2.800,-14.223,-20.959
2.817,-14.118,-21.273
2.833,-14.275,-21.645
2.850,-14.821,-21.903
2.867,-14.582,-21.932
2.883,-14.602,-21.900
2.900,-14.383,-21.924
2.917,-14.236,-21.813
2.933,-14.559,-21.540
2.950,-14.626,-21.282
2.967,-14.777,-21.008
2.983,-15.085,-20.412
3.000,-15.079,-19.864
3.017,-14.913,-19.030
3.033,-15.479,-18.165
3.050,-15.485,-17.144
3.067,-15.932,-16.270
3.083,-15.734,-15.392
3.100,-15.659,-14.662
3.117,-15.207,-14.243
3.133,-15.893,-13.727
3.150,-15.870,-13.496
3.167,-16.488,-13.494
3.183,-16.637,-13.423
3.200,-16.387,-13.828
3.217,-16.926,-13.879
3.233,-16.676,-14.330
3.250,-17.342,-14.673
3.267,-17.575,-15.085
3.283,-17.910,-15.857
3.300,-18.507,-16.831
3.317,-18.486,-17.578
3.333,-18.175,-18.208
3.350,-17.751,-18.578
3.367,-17.859,-18.962
3.383,-18.100,-19.069
3.400,-18.032,-19.491
3.417,-18.046,-19.664
3.433,-18.720,-20.200
3.450,-18.187,-20.979
3.467,-18.728,-21.596
3.483,-18.761,-22.054
3.500,-18.960,-22.580
3.517,-19.418,-22.842
3.533,-19.976,-23.338
3.550,-20.347,-23.667
3.567,-20.307,-23.770
3.583,-20.896,-24.052
3.600,-21.553,-24.639
3.617,-21.402,-25.561
3.633,-21.068,-26.413
3.650,-21.363,-27.156
3.667,-22.134,-27.413
3.683,-21.625,-27.527
3.700,-21.481,-27.621
3.717,-21.666,-27.535
3.733,-21.259,-27.094
3.750,-21.401,-27.241
3.767,-21.002,-26.898
3.783,-21.088,-26.839
3.800,-20.998,-26.683
3.817,-21.059,-26.459
3.833,-21.021,-26.342
3.850,-21.278,-26.113
3.867,-21.192,-25.927
3.883,-20.789,-26.197
3.900,-21.183,-25.956
3.917,-20.902,-25.794
3.933,-21.154,-25.741
3.950,-21.164,-25.755
3.967,-20.624,-26.103
3.983,-20.184,-26.175
4.000,-20.510,-26.090
4.017,-20.530,-26.335
4.033,-20.454,-26.442
4.050,-20.172,-26.448
4.067,-20.119,-26.741
4.083,-19.529,-26.754
4.100,-19.617,-26.478
4.117,-19.156,-26.393
4.133,-19.171,-26.138
4.150,-18.879,-25.971
4.167,-18.857,-25.534
4.183,-18.434,-24.903
4.200,-17.214,-23.932
4.217,-16.772,-23.205
4.233,-16.726,-22.354
4.250,-15.880,-21.753
4.267,-15.748,-20.941
4.283,-15.245,-20.691
4.300,-14.921,-20.286
4.317,-14.733,-20.032
4.333,-14.598,-19.814
4.350,-14.480,-19.411
4.367,-14.382,-19.229
4.383,-14.491,-19.030
4.400,-14.165,-19.065
4.417,-14.509,-19.277
4.433,-14.049,-19.447
4.450,-14.480,-19.549
4.467,-13.938,-19.791
4.483,-14.612,-19.889
4.500,-14.232,-19.887
4.517,-14.109,-19.966
4.533,-14.578,-19.942
4.550,-14.206,-20.020
4.567,-14.849,-19.715
4.583,-14.308,-19.890
4.600,-14.549,-19.528
4.617,-14.996,-19.171
4.633,-15.362,-18.853
4.650,-15.277,-18.870
4.667,-15.084,-18.693
4.683,-15.225,-18.737
4.700,-15.239,-18.118
4.717,-15.396,-17.979
4.733,-15.818,-17.796
4.750,-15.755,-17.819
4.767,-16.061,-17.682
4.783,-15.561,-17.592
4.800,-15.952,-17.028
4.817,-15.658,-17.245
4.833,-16.152,-16.824
4.850,-16.357,-16.627
4.867,-16.339,-16.940
4.883,-17.178,-17.188
4.900,-17.579,-17.236
4.917,-17.743,-17.302
4.933,-18.271,-17.334
4.950,-18.386,-17.647
4.967,-18.934,-17.614
4.983,-19.377,-17.832
