type,name,time_units,begin_time,frequency,count,units
signal_2d,"COP","s",0.000,60,1800,"mm"

time,x,y
0.000,-24.568,-15.447
0.017,-24.259,-15.637
0.033,-24.623,-15.698
0.050,-24.702,-15.490
0.067,-24.672,-15.459
0.083,-24.549,-15.561
0.100,-24.404,-15.620
0.117,-24.359,-15.585
0.133,-24.567,-15.528
0.150,-24.614,-15.664
0.167,-24.576,-15.485
0.183,-24.055,-15.628
0.200,-24.281,-15.446
0.217,-24.318,-15.511
0.233,-24.089,-15.566
0.250,-24.142,-15.534
0.267,-23.989,-15.618
0.283,-23.590,-15.594
0.300,-22.995,-15.550
0.317,-23.392,-15.618
0.333,-23.049,-15.522
0.350,-23.063,-15.713
0.367,-22.920,-15.417
0.383,-23.133,-15.280
0.400,-22.472,-15.357
0.417,-22.627,-15.287
0.433,-22.562,-15.309
0.450,-22.738,-15.400
0.467,-22.302,-15.018
0.483,-22.567,-14.987
0.500,-22.287,-14.649
0.517,-22.229,-14.629
0.533,-22.401,-14.568
0.550,-22.239,-14.407
0.567,-22.754,-14.501
0.583,-22.408,-14.571
0.600,-22.339,-14.624
0.617,-22.249,-14.413
0.633,-22.035,-14.369
0.650,-22.072,-14.768
0.667,-22.466,-14.483
0.683,-22.250,-14.564
0.700,-21.988,-14.642
0.717,-21.929,-14.753
0.733,-21.687,-14.771
0.750,-21.909,-14.710
0.767,-21.857,-14.969
0.783,-21.506,-14.901
0.800,-21.145,-15.187
0.817,-21.830,-15.528
0.833,-21.102,-15.713
0.850,-21.557,-15.896
0.867,-21.576,-16.028
0.883,-22.002,-16.202
0.900,-21.973,-16.418
0.917,-21.981,-16.485
0.933,-21.883,-16.553
0.950,-21.803,-16.997
0.967,-22.235,-17.239
0.983,-21.702,-17.543
1.000,-21.829,-17.719
1.017,-21.381,-18.205
1.033,-21.609,-18.735
1.050,-21.780,-18.968
1.067,-21.387,-19.401
1.083,-21.074,-19.592
1.100,-21.452,-19.563
1.117,-21.872,-19.600
1.133,-22.306,-19.696
1.150,-22.221,-19.767
1.167,-22.178,-19.589
1.183,-22.190,-19.662
1.200,-22.681,-19.798
1.217,-22.515,-20.057
1.233,-22.713,-19.973
1.250,-22.342,-20.042
1.267,-22.186,-20.194
1.283,-21.485,-20.076
1.300,-20.993,-20.248
1.317,-20.989,-20.053
1.333,-21.098,-19.984
1.350,-20.460,-19.949
1.367,-20.327,-19.915
1.383,-19.994,-19.885
1.400,-19.879,-20.111
1.417,-19.603,-19.946
1.433,-19.574,-20.158
1.450,-19.373,-19.951
1.467,-19.160,-20.171
1.483,-19.219,-19.935
1.500,-19.001,-19.640
1.517,-18.625,-19.731
1.533,-18.912,-19.453
1.550,-18.454,-19.381
1.567,-18.348,-19.117
1.583,-18.369,-18.839
1.600,-18.101,-18.657
1.617,-17.877,-18.515
1.633,-17.852,-18.160
1.650,-17.260,-17.952
1.667,-17.328,-17.823
1.683,-16.768,-17.795
1.700,-17.189,-17.870
1.717,-17.222,-17.809
1.733,-17.198,-17.860
1.750,-17.075,-17.936
1.767,-17.366,-18.150
1.783,-17.433,-17.811
1.800,-16.893,-17.964
1.817,-17.291,-18.216
1.833,-17.432,-18.018
1.850,-17.073,-18.028
1.867,-16.905,-18.202
1.883,-16.787,-18.229
1.900,-17.275,-18.487
1.917,-17.583,-18.669
1.933,-17.302,-18.527
1.950,-17.735,-18.757
1.967,-17.684,-18.839
1.983,-17.489,-18.901
2.000,-17.561,-19.000
2.017,-18.190,-18.957
2.033,-17.742,-18.761
2.050,-17.784,-18.642
2.067,-18.062,-18.332
2.083,-17.192,-18.369
2.100,-17.560,-17.968
2.117,-17.319,-17.643
2.133,-17.358,-17.443
2.150,-17.504,-17.051
2.167,-17.472,-16.790
2.183,-17.562,-16.565
2.200,-18.408,-16.177
2.217,-18.047,-15.938
2.233,-18.807,-15.790
2.250,-18.284,-15.446
2.267,-19.089,-15.350
2.283,-19.244,-14.877
2.300,-19.669,-14.854
2.317,-19.996,-14.481
2.333,-19.896,-14.269
2.350,-19.935,-14.288
2.367,-19.919,-14.299
2.383,-19.598,-14.391
2.400,-19.531,-14.160
2.417,-19.704,-14.158
2.433,-19.638,-13.950
2.450,-19.904,-13.835
2.467,-19.386,-13.902
2.483,-19.270,-13.865
2.500,-19.274,-13.648
2.517,-19.413,-13.583
2.533,-18.899,-13.594
2.550,-19.348,-13.201
2.567,-18.836,-13.186
2.583,-18.806,-12.935
2.600,-18.214,-12.831
2.617,-18.459,-12.646
2.633,-18.269,-12.424
2.650,-18.312,-12.208
2.667,-18.006,-12.114
2.683,-18.587,-11.750
2.700,-18.730,-11.751
2.717,-18.812,-11.435
2.733,-18.200,-11.212
2.750,-18.320,-11.099
2.767,-18.757,-10.818
2.783,-18.530,-10.678
2.800,-18.674,-10.822
2.817,-18.782,-10.894
2.833,-18.579,-10.654
2.850,-18.843,-10.467
2.867,-18.617,-10.359
2.883,-18.896,-10.240
2.900,-18.776,-10.191
2.917,-18.905,-10.235
2.933,-18.976,-10.056
2.950,-18.883,-10.185
2.967,-19.200,-10.313
2.983,-19.183,-10.378
3.000,-19.118,-10.516
3.017,-18.836,-10.679
3.033,-19.453,-10.723
3.050,-18.999,-11.022
3.067,-19.309,-11.271
3.083,-18.922,-11.286
3.100,-19.421,-11.657
3.117,-19.075,-11.822
3.133,-19.189,-11.870
3.150,-18.965,-12.113
3.167,-19.050,-12.170
3.183,-18.972,-12.416
3.200,-18.952,-12.571
3.217,-18.755,-12.463
3.233,-19.250,-12.496
3.250,-19.313,-12.628
3.267,-19.369,-12.793
