type,name,time_units,begin_time,frequency,count,units
signal_2d,"COP","s",0.000,60,1800,"mm"

time,x,y
0.000,5.611,-20.839
0.017,5.753,-20.817
0.033,6.123,-21.013
0.050,7.003,-20.753
0.067,6.425,-20.702
0.083,6.770,-20.687
0.100,5.882,-20.485
0.117,6.428,-20.719
0.133,6.648,-20.725
0.150,6.784,-20.822
0.167,7.102,-20.946
0.183,6.970,-21.317
0.200,6.829,-21.070
0.217,7.493,-21.255
0.233,7.077,-21.498
0.250,6.784,-21.524
0.267,7.313,-21.859
0.283,7.313,-22.063
0.300,7.097,-22.543
0.317,6.930,-22.535
0.333,6.988,-22.883
0.350,7.535,-23.097
0.367,7.740,-23.234
0.383,7.911,-23.309
0.400,7.634,-23.388
0.417,7.653,-23.343
0.433,7.369,-23.473
0.450,7.488,-23.678
0.467,7.668,-23.997
0.483,7.783,-24.108
0.500,7.461,-24.405
0.517,7.742,-24.473
0.533,8.278,-24.770
0.550,7.501,-24.738
0.567,7.385,-24.852
0.583,7.469,-25.284
0.600,6.912,-25.450
0.617,6.616,-25.585
0.633,6.728,-25.697
0.650,6.576,-25.685
0.667,5.777,-25.733
0.683,5.423,-25.637
0.700,5.685,-25.898
0.717,5.523,-26.223
0.733,5.721,-26.304
0.750,5.848,-27.041
0.767,5.248,-27.038
0.783,5.184,-27.121
0.800,5.070,-27.430
0.817,5.123,-27.420
0.833,5.200,-27.686
0.850,5.440,-27.990
0.867,5.536,-27.709
0.883,5.534,-27.911
0.900,5.475,-27.961
0.917,5.466,-28.234
0.933,5.317,-28.376
0.950,5.716,-28.095
0.967,6.110,-28.204
0.983,6.288,-27.666
1.000,6.184,-27.860
1.017,6.365,-27.688
1.033,6.667,-27.320
1.050,6.673,-27.155
1.067,6.567,-26.922
1.083,6.523,-26.555
1.100,7.318,-26.456
1.117,7.135,-25.587
1.133,7.739,-25.113
1.150,6.927,-24.603
1.167,7.263,-24.033
1.183,6.956,-23.723
1.200,6.765,-23.319
1.217,6.604,-22.968
1.233,6.771,-22.891
1.250,6.598,-22.205
1.267,6.972,-21.818
1.283,6.755,-21.689
1.300,6.712,-21.278
1.317,7.005,-21.419
1.333,7.087,-21.131
1.350,6.757,-21.238
1.367,7.036,-20.946
1.383,6.708,-20.425
1.400,6.719,-20.408
1.417,7.062,-20.318
1.433,7.312,-20.283
1.450,7.171,-20.148
1.467,6.538,-19.781
1.483,6.883,-19.962
1.500,7.156,-19.897
1.517,7.570,-19.440
1.533,7.056,-19.533
1.550,7.245,-19.357
1.567,7.156,-19.335
1.583,7.237,-19.333
1.600,6.933,-19.342
1.617,7.033,-18.948
1.633,6.781,-19.039
1.650,7.030,-18.958
1.667,6.915,-18.684
1.683,6.527,-18.606
1.700,7.101,-18.501
1.717,6.849,-18.272
1.733,7.052,-18.184
1.750,6.960,-18.079
1.767,6.540,-17.987
1.783,5.958,-17.802
1.800,6.724,-17.708
1.817,6.038,-17.895
1.833,6.428,-17.749
1.850,6.194,-17.944
1.867,6.709,-17.881
1.883,6.380,-17.670
1.900,6.162,-17.793
1.917,5.982,-17.967
1.933,6.290,-18.334
1.950,6.082,-18.346
1.967,5.740,-19.010
