type,name,time_units,begin_time,frequency,count,units
signal_2d,"COP","s",0.000,60,1800,"mm"

time,x,y
0.000,-15.288,-21.012
0.017,-15.171,-21.203
0.033,-15.550,-21.352
0.050,-15.820,-21.395
0.067,-16.357,-21.478
0.083,-16.296,-21.626
0.100,-16.254,-21.640
0.117,-16.782,-21.849
0.133,-16.860,-22.021
0.150,-16.973,-22.142
0.167,-16.644,-22.191
0.183,-17.278,-22.261
0.200,-17.366,-22.416
0.217,-17.193,-22.286
0.233,-17.452,-22.388
0.250,-17.382,-22.204
0.267,-17.772,-22.521
0.283,-17.713,-22.772
0.300,-17.850,-22.739
0.317,-18.727,-22.713
0.333,-18.564,-22.778
0.350,-18.881,-22.679
0.367,-18.464,-22.709
0.383,-18.114,-22.685
0.400,-18.310,-22.744
0.417,-17.739,-22.883
0.433,-17.774,-23.026
0.450,-17.255,-23.145
0.467,-16.856,-23.312
0.483,-16.426,-23.363
0.500,-16.351,-23.725
0.517,-16.226,-23.663
0.533,-15.742,-24.195
0.550,-15.616,-24.308
0.567,-15.625,-24.466
0.583,-15.530,-24.446
0.600,-15.319,-24.660
0.617,-15.122,-24.444
0.633,-15.031,-24.826
0.650,-14.891,-24.585
0.667,-15.042,-24.779
0.683,-15.180,-24.762
0.700,-15.123,-24.731
0.717,-15.603,-24.887
0.733,-15.777,-24.585
0.750,-16.242,-24.678
0.767,-16.770,-24.400
0.783,-17.263,-24.545
0.800,-17.134,-24.269
0.817,-17.118,-24.297
0.833,-17.275,-24.378
0.850,-16.938,-24.125
0.867,-17.173,-23.879
0.883,-16.879,-23.730
0.900,-16.547,-23.478
0.917,-16.174,-23.362
0.933,-15.370,-23.199
0.950,-15.518,-23.298
0.967,-14.306,-23.256
0.983,-14.435,-23.043
1.000,-14.374,-23.200
1.017,-14.404,-23.086
1.033,-13.944,-22.919
1.050,-13.743,-23.026
1.067,-13.587,-23.126
1.083,-12.989,-23.186
1.100,-13.161,-23.593
1.117,-13.115,-23.779
1.133,-13.073,-24.394
1.150,-13.427,-24.546
1.167,-13.380,-25.059
1.183,-12.875,-25.009
1.200,-13.380,-25.294
1.217,-12.599,-25.405
1.233,-13.110,-25.556
